decil;poblacion;suma_ingresos;promedio_ingresos;mediana_ingresos;min_ingresos;max_ingresos
1;1431254;195943465865;136903;149583,5;83;260448
2;750643;238632357051;317903;303493,0;260833;360833
3;1240148;495851434057;399832;399867,0;361000;424667
4;611577;275120250020;449853;449925,0;425000;478000
5;1068705;545681844438;510601;499843,0;478333;557175
6;1142253;719548527745;629937;609906,0;557500;704102
7;809740;643645359396;794879;799999,5;704167;899788
8;1026958;1074340615586;1046138;1004083,5;900000;1299500
9;1340021;3296546183052;2460070;1995000,0;1300000;50966668
